method,metric,dyad,player_a,player_b,gg,ab,ab_minus_gg
M2,WDL-TV,0__7,Magnus Carlsen,Alireza Firouzja,0.276572222222,0.268172222222,-0.008400000000
M2,WDL-TV,1__2,Wesley So,Levon Aronian,0.094051851852,0.097251851852,0.003200000000
M2,WDL-TV,1__3,Wesley So,Fabiano Caruana,0.086758139535,0.094758139535,0.008000000000
M2,WDL-TV,1__4,Wesley So,Maxime Vachier-Lagrave,0.031430252101,0.046389075630,0.014958823529
M2,WDL-TV,1__5,Wesley So,Hikaru Nakamura,0.112567532468,0.094267532468,-0.018300000000
M2,WDL-TV,1__6,Wesley So,Ian Nepomniachtchi,0.072519047619,0.086019047619,0.013500000000
M2,WDL-TV,1__7,Wesley So,Alireza Firouzja,0.140823809524,0.140923809524,0.000100000000
M2,WDL-TV,2__3,Levon Aronian,Fabiano Caruana,0.031233333333,0.038333333333,0.007100000000
M2,WDL-TV,2__4,Levon Aronian,Maxime Vachier-Lagrave,0.136133333333,0.129933333333,-0.006200000000
M2,WDL-TV,2__5,Levon Aronian,Hikaru Nakamura,0.235036974790,0.239636974790,0.004600000000
M2,WDL-TV,2__6,Levon Aronian,Ian Nepomniachtchi,0.189100000000,0.196100000000,0.007000000000
M2,WDL-TV,2__7,Levon Aronian,Alireza Firouzja,0.166133333333,0.159433333333,-0.006700000000
M2,WDL-TV,3__4,Fabiano Caruana,Maxime Vachier-Lagrave,0.088052173913,0.077552173913,-0.010500000000
M2,WDL-TV,3__5,Fabiano Caruana,Hikaru Nakamura,0.195263636364,0.207663636364,0.012400000000
M2,WDL-TV,3__6,Fabiano Caruana,Ian Nepomniachtchi,0.116187179487,0.131887179487,0.015700000000
M2,WDL-TV,3__7,Fabiano Caruana,Alireza Firouzja,0.219552380952,0.212452380952,-0.007100000000
M2,WDL-TV,4__5,Maxime Vachier-Lagrave,Hikaru Nakamura,0.271102564103,0.286702564103,0.015600000000
M2,WDL-TV,4__6,Maxime Vachier-Lagrave,Ian Nepomniachtchi,0.169472766885,0.154972766885,-0.014500000000
M2,WDL-TV,4__7,Maxime Vachier-Lagrave,Alireza Firouzja,0.078071428571,0.075171428571,-0.002900000000
M2,WDL-TV,5__6,Hikaru Nakamura,Ian Nepomniachtchi,0.099264705882,0.091364705882,-0.007900000000
M2,WDL-TV,5__7,Hikaru Nakamura,Alireza Firouzja,0.195425472747,0.187025472747,-0.008400000000
M2,WDL-TV,6__7,Ian Nepomniachtchi,Alireza Firouzja,0.183100000000,0.167300000000,-0.015800000000
M2,Opening-family TV,0__1,Magnus Carlsen,Wesley So,0.395638738739,0.400011711712,0.004372972973
M2,Opening-family TV,0__2,Magnus Carlsen,Levon Aronian,0.563352380952,0.454942857143,-0.108409523810
M2,Opening-family TV,0__3,Magnus Carlsen,Fabiano Caruana,0.383491304348,0.323808695652,-0.059682608696
M2,Opening-family TV,0__4,Magnus Carlsen,Maxime Vachier-Lagrave,0.594662020906,0.395591986063,-0.199070034843
M2,Opening-family TV,0__5,Magnus Carlsen,Hikaru Nakamura,0.407134888060,0.322283955224,-0.084850932836
M2,Opening-family TV,0__6,Magnus Carlsen,Ian Nepomniachtchi,0.547421052632,0.399700000000,-0.147721052632
M2,Opening-family TV,0__7,Magnus Carlsen,Alireza Firouzja,0.366583333333,0.308833333333,-0.057750000000
M2,Opening-family TV,1__2,Wesley So,Levon Aronian,0.522607407407,0.460362962963,-0.062244444444
M2,Opening-family TV,1__3,Wesley So,Fabiano Caruana,0.496799224806,0.370082945736,-0.126716279070
M2,Opening-family TV,1__4,Wesley So,Maxime Vachier-Lagrave,0.545657142857,0.366689075630,-0.178968067227
M2,Opening-family TV,1__5,Wesley So,Hikaru Nakamura,0.536176623377,0.422436796537,-0.113739826840
M2,Opening-family TV,1__6,Wesley So,Ian Nepomniachtchi,0.624085714286,0.447452380952,-0.176633333333
M2,Opening-family TV,1__7,Wesley So,Alireza Firouzja,0.536390476190,0.405690476190,-0.130700000000
M2,Opening-family TV,2__3,Levon Aronian,Fabiano Caruana,0.535533333333,0.467366666667,-0.068166666667
M2,Opening-family TV,2__4,Levon Aronian,Maxime Vachier-Lagrave,0.704319943020,0.467062393162,-0.237257549858
M2,Opening-family TV,2__5,Levon Aronian,Hikaru Nakamura,0.551227731092,0.447663865546,-0.103563865546
M2,Opening-family TV,2__6,Levon Aronian,Ian Nepomniachtchi,0.582100000000,0.510500000000,-0.071600000000
M2,Opening-family TV,2__7,Levon Aronian,Alireza Firouzja,0.613683333333,0.552166666667,-0.061516666667
M2,Opening-family TV,3__4,Fabiano Caruana,Maxime Vachier-Lagrave,0.618882608696,0.460526086957,-0.158356521739
M2,Opening-family TV,3__5,Fabiano Caruana,Hikaru Nakamura,0.443136363636,0.370233333333,-0.072903030303
M2,Opening-family TV,3__6,Fabiano Caruana,Ian Nepomniachtchi,0.607666666667,0.569733333333,-0.037933333333
M2,Opening-family TV,3__7,Fabiano Caruana,Alireza Firouzja,0.476590476190,0.447538095238,-0.029052380952
M2,Opening-family TV,4__5,Maxime Vachier-Lagrave,Hikaru Nakamura,0.747333333333,0.610271794872,-0.137061538462
M2,Opening-family TV,4__6,Maxime Vachier-Lagrave,Ian Nepomniachtchi,0.658920043573,0.421262091503,-0.237657952070
M2,Opening-family TV,4__7,Maxime Vachier-Lagrave,Alireza Firouzja,0.666300000000,0.302123809524,-0.364176190476
M2,Opening-family TV,5__6,Hikaru Nakamura,Ian Nepomniachtchi,0.618750000000,0.458264705882,-0.160485294118
M2,Opening-family TV,5__7,Hikaru Nakamura,Alireza Firouzja,0.533189321468,0.458489321468,-0.074700000000
M2,Opening-family TV,6__7,Ian Nepomniachtchi,Alireza Firouzja,0.654266666667,0.620566666667,-0.033700000000
M3,WDL-TV,0__1,Magnus Carlsen,Wesley So,0.196224924925,0.195124924925,-0.001100000000
M3,WDL-TV,0__2,Magnus Carlsen,Levon Aronian,0.319533333333,0.334033333333,0.014500000000
M3,WDL-TV,0__3,Magnus Carlsen,Fabiano Caruana,0.336139130435,0.308539130435,-0.027600000000
M3,WDL-TV,0__4,Magnus Carlsen,Maxime Vachier-Lagrave,0.199788153310,0.181888153310,-0.017900000000
M3,WDL-TV,0__5,Magnus Carlsen,Hikaru Nakamura,0.123603358209,0.122522761194,-0.001080597015
M3,WDL-TV,0__6,Magnus Carlsen,Ian Nepomniachtchi,0.204210526316,0.195910526316,-0.008300000000
M3,WDL-TV,0__7,Magnus Carlsen,Alireza Firouzja,0.273194444444,0.251272222222,-0.021922222222
M3,WDL-TV,1__2,Wesley So,Levon Aronian,0.092751851852,0.103451851852,0.010700000000
M3,WDL-TV,1__3,Wesley So,Fabiano Caruana,0.085458139535,0.072758139535,-0.012700000000
M3,WDL-TV,1__4,Wesley So,Maxime Vachier-Lagrave,0.025930252101,0.040989075630,0.015058823529
M3,WDL-TV,1__5,Wesley So,Hikaru Nakamura,0.113967532468,0.131667532468,0.017700000000
M3,WDL-TV,1__6,Wesley So,Ian Nepomniachtchi,0.079219047619,0.096019047619,0.016800000000
M3,WDL-TV,1__7,Wesley So,Alireza Firouzja,0.136923809524,0.135323809524,-0.001600000000
M3,WDL-TV,2__3,Levon Aronian,Fabiano Caruana,0.029233333333,0.053033333333,0.023800000000
M3,WDL-TV,2__4,Levon Aronian,Maxime Vachier-Lagrave,0.143503703704,0.097188319088,-0.046315384615
M3,WDL-TV,2__5,Levon Aronian,Hikaru Nakamura,0.239136974790,0.213036974790,-0.026100000000
M3,WDL-TV,2__6,Levon Aronian,Ian Nepomniachtchi,0.198600000000,0.169400000000,-0.029200000000
M3,WDL-TV,2__7,Levon Aronian,Alireza Firouzja,0.155533333333,0.169800000000,0.014266666667
M3,WDL-TV,3__4,Fabiano Caruana,Maxime Vachier-Lagrave,0.090152173913,0.068052173913,-0.022100000000
M3,WDL-TV,3__5,Fabiano Caruana,Hikaru Nakamura,0.185463636364,0.133763636364,-0.051700000000
M3,WDL-TV,3__6,Fabiano Caruana,Ian Nepomniachtchi,0.125787179487,0.158587179487,0.032800000000
M3,WDL-TV,3__7,Fabiano Caruana,Alireza Firouzja,0.218352380952,0.178952380952,-0.039400000000
M3,WDL-TV,4__5,Maxime Vachier-Lagrave,Hikaru Nakamura,0.277502564103,0.249802564103,-0.027700000000
M3,WDL-TV,4__6,Maxime Vachier-Lagrave,Ian Nepomniachtchi,0.165872766885,0.144043137255,-0.021829629630
M3,WDL-TV,4__7,Maxime Vachier-Lagrave,Alireza Firouzja,0.079371428571,0.087471428571,0.008100000000
M3,WDL-TV,5__6,Hikaru Nakamura,Ian Nepomniachtchi,0.100764705882,0.097964705882,-0.002800000000
M3,WDL-TV,5__7,Hikaru Nakamura,Alireza Firouzja,0.189025472747,0.124625472747,-0.064400000000
M3,WDL-TV,6__7,Ian Nepomniachtchi,Alireza Firouzja,0.180800000000,0.141800000000,-0.039000000000
M3,Opening-family TV,0__1,Magnus Carlsen,Wesley So,0.390171171171,0.382765465465,-0.007405705706
M3,Opening-family TV,0__2,Magnus Carlsen,Levon Aronian,0.563152380952,0.455976190476,-0.107176190476
M3,Opening-family TV,0__3,Magnus Carlsen,Fabiano Caruana,0.384291304348,0.309478260870,-0.074813043478
M3,Opening-family TV,0__4,Magnus Carlsen,Maxime Vachier-Lagrave,0.600057142857,0.399487108014,-0.200570034843
M3,Opening-family TV,0__5,Magnus Carlsen,Hikaru Nakamura,0.408072201493,0.341396455224,-0.066675746269
M3,Opening-family TV,0__6,Magnus Carlsen,Ian Nepomniachtchi,0.538221052632,0.413936842105,-0.124284210526
M3,Opening-family TV,0__7,Magnus Carlsen,Alireza Firouzja,0.353883333333,0.360455555556,0.006572222222
M3,Opening-family TV,1__2,Wesley So,Levon Aronian,0.519707407407,0.455762962963,-0.063944444444
M3,Opening-family TV,1__3,Wesley So,Fabiano Caruana,0.510627131783,0.343282945736,-0.167344186047
M3,Opening-family TV,1__4,Wesley So,Maxime Vachier-Lagrave,0.537385714286,0.370789075630,-0.166596638655
M3,Opening-family TV,1__5,Wesley So,Hikaru Nakamura,0.535979653680,0.445688311688,-0.090291341991
M3,Opening-family TV,1__6,Wesley So,Ian Nepomniachtchi,0.620052380952,0.467152380952,-0.152900000000
M3,Opening-family TV,1__7,Wesley So,Alireza Firouzja,0.536390476190,0.438852380952,-0.097538095238
M3,Opening-family TV,2__3,Levon Aronian,Fabiano Caruana,0.530533333333,0.468566666667,-0.061966666667
M3,Opening-family TV,2__4,Levon Aronian,Maxime Vachier-Lagrave,0.709819943020,0.488862393162,-0.220957549858
M3,Opening-family TV,2__5,Levon Aronian,Hikaru Nakamura,0.550927731092,0.459526890756,-0.091400840336
M3,Opening-family TV,2__6,Levon Aronian,Ian Nepomniachtchi,0.580600000000,0.508700000000,-0.071900000000
M3,Opening-family TV,2__7,Levon Aronian,Alireza Firouzja,0.609383333333,0.529200000000,-0.080183333333
M3,Opening-family TV,3__4,Fabiano Caruana,Maxime Vachier-Lagrave,0.615082608696,0.438026086957,-0.177056521739
M3,Opening-family TV,3__5,Fabiano Caruana,Hikaru Nakamura,0.436384848485,0.367875757576,-0.068509090909
M3,Opening-family TV,3__6,Fabiano Caruana,Ian Nepomniachtchi,0.596233333333,0.569210256410,-0.027023076923
M3,Opening-family TV,3__7,Fabiano Caruana,Alireza Firouzja,0.494290476190,0.418714285714,-0.075576190476
M3,Opening-family TV,4__5,Maxime Vachier-Lagrave,Hikaru Nakamura,0.741133333333,0.588371794872,-0.152761538462
M3,Opening-family TV,4__6,Maxime Vachier-Lagrave,Ian Nepomniachtchi,0.657320043573,0.440962091503,-0.216357952070
M3,Opening-family TV,4__7,Maxime Vachier-Lagrave,Alireza Firouzja,0.675400000000,0.327423809524,-0.347976190476
M3,Opening-family TV,5__6,Hikaru Nakamura,Ian Nepomniachtchi,0.621950000000,0.489564705882,-0.132385294118
M3,Opening-family TV,5__7,Hikaru Nakamura,Alireza Firouzja,0.546254838710,0.519689321468,-0.026565517241
M3,Opening-family TV,6__7,Ian Nepomniachtchi,Alireza Firouzja,0.659766666667,0.644266666667,-0.015500000000
